Station;010 Wedding;032 Grunewald;042 Neukölln;077 Buch;085 Friedrichshagen;117 Schildhornstraße;124 Mariendorfer Damm;143 Silbersteinstraße;144 Silbersteinstraße;171 Mitte;174 Frankfurter Allee;190 Leipziger Straße;221 Karl-Marx-Straße
03.01.2023 02:00;7;6;7;7;6;8;10;9;9;8;11;8;8
03.01.2023 03:00;6;6;6;7;6;7;8;7;8;7;11;8;8
03.01.2023 04:00;6;6;6;7;5;7;9;7;7;7;9;8;7
03.01.2023 05:00;7;6;6;8;6;8;11;9;10;8;10;9;8
03.01.2023 06:00;8;7;7;8;6;9;12;9;10;8;12;9;8
03.01.2023 07:00;9;7;8;9;7;11;15;13;12;9;13;10;10
03.01.2023 08:00;10;7;9;10;8;12;15;13;13;10;13;11;12
03.01.2023 09:00;12;8;11;11;9;14;22;17;16;12;16;14;14
03.01.2023 10:00;12;8;12;12;9;14;23;19;19;13;17;14;15
03.01.2023 11:00;12;9;11;11;9;13;29;20;20;12;19;16;17
03.01.2023 12:00;14;10;13;10;9;14;26;21;21;15;18;21;17
03.01.2023 13:00;14;11;15;12;11;16;27;19;23;17;20;21;21
03.01.2023 14:00;13;11;14;11;13;16;29;20;23;15;20;21;19
03.01.2023 15:00;14;11;14;11;13;17;31;19;20;15;20;22;18
03.01.2023 16:00;15;10;16;10;14;19;44;28;30;16;23;23;21
03.01.2023 17:00;17;9;22;10;15;20;39;40;52;17;27;22;27
03.01.2023 18:00;20;10;40;10;13;27;40;36;40;21;31;31;29
03.01.2023 19:00;26;11;40;15;21;32;53;40;40;26;39;31;36
03.01.2023 20:00;26;12;28;24;26;30;43;38;37;35;40;34;36
03.01.2023 21:00;27;16;33;40;25;29;41;42;44;34;36;32;37
03.01.2023 22:00;24;18;25;27;24;25;31;34;35;28;37;27;33
03.01.2023 23:00;22;18;21;24;19;21;26;28;28;26;36;26;26
04.01.2023 00:00;17;16;18;22;17;19;20;24;23;19;31;22;22
04.01.2023 01:00;15;15;18;22;14;16;17;21;20;18;24;19;23
04.01.2023 02:00;14;14;15;19;14;15;15;19;19;15;21;16;19
04.01.2023 03:00;13;12;13;15;12;14;15;16;15;14;17;14;16
04.01.2023 04:00;12;11;12;13;12;13;14;15;14;14;15;14;15
04.01.2023 05:00;12;10;11;12;11;13;14;15;14;13;15;13;14
04.01.2023 06:00;11;10;11;12;10;13;14;16;15;13;15;14;14
04.01.2023 07:00;11;10;11;11;9;14;15;16;14;12;15;14;14
04.01.2023 08:00;13;9;10;11;9;12;15;15;13;12;16;14;13
04.01.2023 09:00;10;7;9;9;7;12;14;12;11;11;13;12;12
04.01.2023 10:00;8;6;8;8;6;10;11;11;11;10;12;10;11
04.01.2023 11:00;7;7;9;8;7;9;11;12;11;9;11;10;11
04.01.2023 12:00;8;6;8;7;7;9;11;10;11;9;12;10;12
04.01.2023 13:00;7;6;9;7;6;8;10;9;9;8;12;9;11
04.01.2023 14:00;6;5;7;7;5;7;9;9;9;8;12;8;9
04.01.2023 15:00;6;5;7;7;5;7;9;9;8;7;9;8;10
04.01.2023 16:00;6;5;8;6;5;7;9;9;8;7;9;7;8
04.01.2023 17:00;5;4;7;5;5;6;7;7;8;6;8;7;8
04.01.2023 18:00;5;4;7;5;5;7;7;7;7;6;8;6;7
04.01.2023 19:00;5;4;6;5;4;6;6;6;7;5;7;6;7
04.01.2023 20:00;4;4;7;5;4;6;6;6;6;5;7;6;7
04.01.2023 21:00;4;4;6;5;4;6;6;6;7;6;8;6;6
04.01.2023 22:00;4;4;6;6;4;5;6;6;6;5;7;6;6
04.01.2023 23:00;5;5;6;6;4;6;7;6;7;6;8;6;6
05.01.2023 00:00;5;6;6;6;5;7;9;7;8;6;8;6;7
05.01.2023 01:00;5;6;6;6;5;7;8;7;7;6;7;6;6
05.01.2023 02:00;6;5;6;7;5;7;7;7;7;6;7;7;7
05.01.2023 03:00;6;6;6;8;5;8;8;8;8;8;8;7;7
05.01.2023 04:00;6;6;6;8;5;7;8;7;7;7;7;7;7
05.01.2023 05:00;6;5;5;7;5;7;7;6;6;7;7;7;7
05.01.2023 06:00;5;5;5;7;4;6;7;6;6;6;7;6;6
05.01.2023 07:00;5;5;5;5;4;7;8;6;6;5;7;7;6
05.01.2023 08:00;4;4;4;4;4;6;8;5;6;5;6;6;6
05.01.2023 09:00;4;3;4;4;4;5;6;5;6;4;6;6;5
05.01.2023 10:00;3;3;4;4;3;4;5;5;5;4;5;5;5
05.01.2023 11:00;4;4;5;5;4;5;7;5;7;5;6;6;6
05.01.2023 12:00;6;5;6;7;5;6;14;6;8;17;9;13;8
05.01.2023 13:00;6;6;7;8;6;10;12;8;11;8;10;14;10
05.01.2023 14:00;7;6;8;8;6;8;12;8;9;7;10;12;10
05.01.2023 15:00;6;5;6;6;5;7;28;10;10;6;8;11;9
05.01.2023 16:00;5;5;7;5;5;7;24;8;9;6;8;10;8
05.01.2023 17:00;5;5;7;5;5;7;18;8;8;6;8;9;9
05.01.2023 18:00;6;5;7;5;5;7;20;8;9;6;9;11;10
05.01.2023 19:00;6;6;7;6;5;7;16;9;9;7;9;11;11
05.01.2023 20:00;7;6;9;6;6;7;16;10;11;9;10;10;12
05.01.2023 21:00;7;6;9;6;6;8;14;10;10;8;9;9;12
05.01.2023 22:00;7;7;10;7;5;8;13;11;10;9;9;9;12
05.01.2023 23:00;7;7;8;7;6;8;12;8;9;8;9;9;10
06.01.2023 00:00;7;7;8;7;6;9;13;11;10;8;9;8;9
06.01.2023 01:00;9;7;9;7;6;10;12;16;15;9;13;11;12
06.01.2023 02:00;9;7;8;8;7;10;10;13;13;10;12;11;11
06.01.2023 03:00;9;8;8;9;8;10;9;11;11;10;12;10;11
06.01.2023 04:00;8;8;7;8;6;9;8;10;10;8;10;9;9
06.01.2023 05:00;8;7;6;7;6;8;8;9;9;7;9;9;8
06.01.2023 06:00;8;7;6;7;5;9;8;9;9;7;9;8;8
06.01.2023 07:00;8;8;7;7;5;10;9;9;9;7;10;9;9
06.01.2023 08:00;9;9;8;8;6;12;11;10;10;8;11;10;10
06.01.2023 09:00;12;11;9;8;6;13;15;13;13;11;14;12;12
06.01.2023 10:00;13;13;12;9;7;15;15;15;15;14;23;15;15
06.01.2023 11:00;16;13;13;13;8;17;20;19;18;17;25;17;18
06.01.2023 12:00;19;11;15;18;9;15;16;18;17;17;23;23;18
06.01.2023 13:00;21;10;17;16;10;13;17;16;15;15;24;16;18
06.01.2023 14:00;11;8;11;13;8;12;16;14;14;12;18;13;15
06.01.2023 15:00;7;5;8;9;6;8;10;9;10;9;12;9;10
06.01.2023 16:00;5;5;6;7;5;6;9;9;9;7;10;7;7
06.01.2023 17:00;6;5;7;6;5;6;10;9;10;6;10;7;8
06.01.2023 18:00;7;5;9;7;6;7;10;12;12;6;10;8;13
06.01.2023 19:00;7;5;12;7;8;7;21;15;17;8;14;9;12
06.01.2023 20:00;7;6;14;8;8;8;12;16;18;9;14;10;11
06.01.2023 21:00;8;7;15;11;10;12;16;15;15;11;16;11;13
06.01.2023 22:00;9;7;15;13;12;13;15;15;16;11;17;11;14
06.01.2023 23:00;12;8;18;16;12;16;16;17;17;13;22;14;18
07.01.2023 00:00;15;9;14;16;11;16;15;15;16;16;21;18;17
07.01.2023 01:00;14;9;12;17;11;14;13;14;15;15;19;17;16
07.01.2023 02:00;13;10;12;19;10;12;14;13;14;13;16;14;14
07.01.2023 03:00;13;12;10;19;10;11;14;13;15;11;13;12;12
07.01.2023 04:00;12;9;10;18;10;11;16;14;15;13;15;11;14
07.01.2023 05:00;16;10;13;15;10;14;16;14;14;13;17;14;16
07.01.2023 06:00;20;11;13;15;10;14;16;14;15;17;17;15;15
07.01.2023 07:00;16;13;12;14;10;14;17;14;14;17;20;16;15
07.01.2023 08:00;13;14;12;15;10;13;15;14;15;17;17;16;15
07.01.2023 09:00;14;13;12;14;11;12;14;13;15;15;16;14;14
07.01.2023 10:00;15;11;11;15;9;11;12;12;13;14;16;13;13
07.01.2023 11:00;19;10;13;13;7;11;11;11;12;12;15;12;13
07.01.2023 12:00;13;8;10;11;7;10;9;10;10;11;18;12;11
07.01.2023 13:00;14;6;8;10;6;9;9;10;10;9;22;10;11
07.01.2023 14:00;14;5;9;9;5;8;10;9;9;8;15;9;11
07.01.2023 15:00;11;5;13;7;5;9;10;14;11;8;16;10;13
07.01.2023 16:00;11;6;11;7;6;10;11;15;13;10;15;11;15
07.01.2023 17:00;10;6;13;8;8;10;11;17;17;16;18;13;18
07.01.2023 18:00;9;7;12;10;10;10;16;14;12;14;16;13;13
07.01.2023 19:00;8;7;11;9;8;11;14;16;15;13;16;14;14
07.01.2023 20:00;9;8;11;9;8;12;14;15;16;11;13;15;20
07.01.2023 21:00;9;9;11;13;8;13;12;15;16;11;14;12;20
07.01.2023 22:00;10;10;11;14;9;13;13;13;15;12;14;14;17
07.01.2023 23:00;11;11;12;11;9;14;14;14;16;12;16;14;17
08.01.2023 00:00;12;12;11;11;9;13;13;13;15;12;14;14;15
08.01.2023 01:00;12;11;11;11;9;13;13;13;14;12;14;14;15
08.01.2023 02:00;12;11;11;11;9;13;13;13;14;13;13;14;14
08.01.2023 03:00;12;11;11;11;10;14;15;14;15;13;14;15;15
08.01.2023 04:00;13;11;12;12;10;16;16;15;16;14;16;16;16
08.01.2023 05:00;14;12;13;13;11;17;16;16;17;16;17;17;17
08.01.2023 06:00;15;14;14;14;11;17;18;17;17;19;17;18;17
08.01.2023 07:00;15;14;13;14;11;16;19;17;17;16;17;17;17
08.01.2023 08:00;14;13;13;13;11;14;18;17;16;15;16;17;16
08.01.2023 09:00;14;11;13;12;11;13;14;15;15;13;16;15;15
08.01.2023 10:00;17;11;13;12;11;13;14;13;13;13;18;14;14
08.01.2023 11:00;13;10;13;12;11;13;13;13;12;13;19;14;13
08.01.2023 12:00;13;10;13;12;10;12;14;12;13;11;15;13;14
08.01.2023 13:00;13;11;12;11;10;13;14;14;14;13;19;14;14
08.01.2023 14:00;13;11;14;11;9;14;15;14;14;13;23;14;15
08.01.2023 15:00;14;11;15;11;10;15;16;15;15;13;18;15;15
08.01.2023 16:00;14;12;15;13;12;16;16;17;16;14;17;16;16
08.01.2023 17:00;14;13;16;14;13;16;18;18;18;16;19;17;18
08.01.2023 18:00;15;13;20;15;13;17;17;18;18;17;21;17;18
08.01.2023 19:00;15;14;20;15;12;17;17;18;18;17;21;17;20
08.01.2023 20:00;14;13;14;14;13;15;17;16;16;19;18;17;17
08.01.2023 21:00;14;12;15;14;14;18;18;17;18;18;17;16;17
08.01.2023 22:00;14;12;15;15;14;16;18;17;18;17;20;17;18
08.01.2023 23:00;15;13;15;15;14;16;17;16;17;16;20;17;18
09.01.2023 00:00;15;12;14;16;14;14;15;16;16;15;17;17;16
09.01.2023 01:00;14;11;14;14;15;14;16;16;16;15;17;16;16
09.01.2023 02:00;14;12;14;15;15;14;17;18;18;15;18;17;18
09.01.2023 03:00;15;13;15;16;15;16;18;19;19;17;19;18;18
09.01.2023 04:00;16;15;16;17;17;18;20;20;20;17;20;19;19
09.01.2023 05:00;18;17;17;17;17;19;21;21;21;18;21;21;20
09.01.2023 06:00;18;18;17;18;18;21;22;21;21;19;22;21;21
09.01.2023 07:00;18;20;18;19;17;22;23;22;22;19;23;22;22
09.01.2023 08:00;18;20;18;19;16;22;22;23;23;20;23;23;23
09.01.2023 09:00;20;20;18;19;16;22;22;26;24;20;23;23;23
09.01.2023 10:00;18;19;17;17;15;21;21;22;23;21;24;23;23
09.01.2023 11:00;19;17;19;17;14;20;22;22;22;21;25;22;22
09.01.2023 12:00;14;12;16;16;14;15;18;19;18;18;21;18;18
09.01.2023 13:00;11;8;12;12;11;11;14;14;14;12;16;13;14
09.01.2023 14:00;9;7;11;10;9;10;14;11;11;11;14;11;14
09.01.2023 15:00;9;7;11;9;9;10;17;12;12;11;15;13;15
09.01.2023 16:00;9;6;11;10;7;10;31;15;23;10;15;15;13
09.01.2023 17:00;13;6;17;10;8;13;25;22;26;11;17;20;21
09.01.2023 18:00;12;6;16;11;8;11;16;19;18;10;17;21;20
09.01.2023 19:00;8;6;16;11;7;10;15;17;16;9;15;13;18
09.01.2023 20:00;8;7;15;10;6;10;13;16;16;9;15;11;16
09.01.2023 21:00;7;6;11;9;7;9;12;13;13;7;13;9;15
09.01.2023 22:00;7;6;8;7;6;8;9;11;11;6;11;8;8
09.01.2023 23:00;6;5;9;7;7;7;9;10;10;7;9;8;8
10.01.2023 00:00;6;5;7;7;5;7;8;10;10;7;10;8;10
10.01.2023 01:00;6;6;7;7;6;7;9;9;9;7;9;8;9
10.01.2023 02:00;7;6;7;8;6;7;8;9;9;8;10;8;8
10.01.2023 03:00;7;6;7;9;7;7;9;9;9;7;9;8;9
10.01.2023 04:00;8;6;7;9;7;7;9;9;9;8;10;9;9
10.01.2023 05:00;8;8;8;9;7;9;10;9;9;9;11;9;9
10.01.2023 06:00;10;10;10;11;9;12;15;12;12;11;13;12;11
10.01.2023 07:00;13;11;13;14;11;15;17;15;14;15;17;15;14
10.01.2023 08:00;15;12;14;17;12;16;19;17;16;19;21;18;16
10.01.2023 09:00;17;13;16;18;14;17;20;19;18;19;23;19;18
10.01.2023 10:00;17;13;16;17;14;16;21;18;17;19;24;20;19
10.01.2023 11:00;14;12;15;15;13;16;19;16;15;17;20;18;18
10.01.2023 12:00;14;12;16;14;11;15;19;17;16;28;20;18;17
10.01.2023 13:00;14;12;17;16;12;18;23;25;24;33;22;19;23
10.01.2023 14:00;15;11;16;14;11;16;39;31;33;18;23;20;24
10.01.2023 15:00;14;11;15;15;9;15;40;29;31;23;20;20;21
10.01.2023 16:00;14;11;14;16;9;16;35;25;34;17;25;21;22
10.01.2023 17:00;14;10;15;21;10;17;28;22;29;16;24;20;19
10.01.2023 18:00;13;10;17;17;9;17;24;23;22;15;24;24;20
10.01.2023 19:00;13;10;17;15;9;16;21;20;19;16;23;20;20
10.01.2023 20:00;14;10;19;14;10;17;20;19;18;16;19;19;19
10.01.2023 21:00;14;11;21;14;10;16;19;21;19;18;19;18;19
10.01.2023 22:00;14;11;16;14;10;16;16;20;18;16;22;18;19
10.01.2023 23:00;12;11;13;14;11;13;14;17;16;14;18;15;16
11.01.2023 00:00;10;9;11;11;9;12;12;14;13;13;16;13;13
11.01.2023 01:00;10;9;10;11;7;11;11;13;12;12;13;12;12
11.01.2023 02:00;10;9;9;11;7;11;11;11;11;11;13;11;11
11.01.2023 03:00;9;9;9;10;7;10;10;11;11;11;12;11;11
11.01.2023 04:00;8;8;8;10;6;9;9;10;10;10;12;10;10
11.01.2023 05:00;8;7;7;8;6;9;9;10;10;9;10;9;8
11.01.2023 06:00;8;6;7;8;6;9;10;11;10;8;10;10;8
11.01.2023 07:00;8;6;7;7;6;9;12;16;15;8;11;12;9
11.01.2023 08:00;9;6;7;7;6;8;10;12;16;9;14;12;10
11.01.2023 09:00;10;6;7;7;6;9;11;14;19;9;21;16;14
11.01.2023 10:00;11;6;7;7;6;9;11;12;14;12;16;14;10
11.01.2023 11:00;10;6;9;7;5;8;11;11;11;10;15;;11
11.01.2023 12:00;11;6;9;7;5;8;9;9;8;8;15;10;9
11.01.2023 13:00;9;5;10;7;4;7;9;9;8;8;11;9;9
11.01.2023 14:00;10;5;8;6;4;7;10;9;8;9;12;9;10
11.01.2023 15:00;7;5;8;7;5;7;10;8;8;7;13;9;9
11.01.2023 16:00;6;4;8;6;4;8;11;9;9;7;10;9;11
11.01.2023 17:00;6;4;8;7;4;7;11;10;9;6;10;9;9
11.01.2023 18:00;5;5;8;6;5;7;12;9;9;7;11;7;9
11.01.2023 19:00;6;5;8;8;6;7;16;11;11;7;12;9;10
11.01.2023 20:00;8;6;10;9;7;9;13;11;11;9;14;10;12
11.01.2023 21:00;8;8;11;11;8;10;14;13;13;10;14;11;12
11.01.2023 22:00;10;9;11;12;9;12;18;14;14;12;15;11;13
11.01.2023 23:00;11;10;13;12;10;15;15;15;14;13;17;12;14
12.01.2023 00:00;13;10;14;16;10;17;18;16;15;16;20;15;15
12.01.2023 01:00;14;11;15;16;10;15;17;16;15;16;19;13;17
12.01.2023 02:00;13;12;13;15;8;14;16;15;15;14;17;13;15
12.01.2023 03:00;12;10;10;12;6;12;12;12;11;13;13;11;12
12.01.2023 04:00;10;8;9;11;5;10;11;10;10;11;11;10;10
12.01.2023 05:00;9;7;8;10;5;9;10;9;9;10;10;9;9
12.01.2023 06:00;9;7;7;9;5;9;10;9;9;10;10;9;9
12.01.2023 07:00;8;7;7;9;5;9;10;9;9;9;11;9;9
12.01.2023 08:00;8;7;7;9;5;9;10;10;9;11;13;9;10
12.01.2023 09:00;10;7;8;9;5;11;10;10;9;12;14;10;10
12.01.2023 10:00;9;6;8;9;4;8;10;9;9;11;13;11;9
12.01.2023 11:00;9;6;7;8;4;9;16;9;12;9;13;16;11
12.01.2023 12:00;11;6;9;7;4;11;15;14;14;10;13;14;13
12.01.2023 13:00;7;5;9;7;4;8;9;8;8;8;11;8;10
12.01.2023 14:00;5;4;7;6;4;6;8;7;7;7;8;7;9
12.01.2023 15:00;5;4;7;5;3;5;6;6;7;6;7;6;7
12.01.2023 16:00;5;4;5;4;3;5;7;6;7;5;7;6;6
12.01.2023 17:00;5;4;6;4;3;5;16;6;7;4;7;9;8
12.01.2023 18:00;4;4;6;4;3;5;13;8;11;4;7;9;9
12.01.2023 19:00;4;4;7;4;3;5;8;8;10;5;7;7;7
12.01.2023 20:00;4;4;8;4;3;6;8;7;10;5;7;7;9
12.01.2023 21:00;4;4;7;4;3;5;7;6;9;4;7;8;7
12.01.2023 22:00;4;4;5;4;3;5;6;6;7;4;6;5;6
12.01.2023 23:00;4;4;5;4;3;5;6;5;6;4;6;6;6
13.01.2023 00:00;5;4;5;4;3;5;6;5;5;4;6;5;6
13.01.2023 01:00;4;4;4;4;3;5;5;5;6;4;6;5;5
13.01.2023 02:00;4;4;4;4;3;4;5;5;6;4;6;5;5
13.01.2023 03:00;4;4;4;4;3;4;5;5;5;4;6;5;5
13.01.2023 04:00;4;4;3;4;3;4;5;4;5;4;5;5;4
13.01.2023 05:00;4;4;4;4;3;4;5;4;5;4;5;5;5
13.01.2023 06:00;4;4;4;4;3;4;6;5;5;4;5;5;5
13.01.2023 07:00;4;4;4;4;3;5;6;5;6;4;5;5;5
13.01.2023 08:00;5;4;4;7;3;5;6;6;6;6;7;6;5
13.01.2023 09:00;5;4;5;7;3;5;6;6;7;6;8;6;7
13.01.2023 10:00;5;4;5;6;3;5;7;6;7;5;10;6;7
13.01.2023 11:00;5;4;6;5;3;5;8;6;7;6;9;6;7
13.01.2023 12:00;5;4;;6;3;5;10;8;8;6;11;9;9
13.01.2023 13:00;6;4;7;5;3;7;18;18;21;6;9;10;9
13.01.2023 14:00;7;6;8;7;4;8;18;17;22;15;10;11;10
13.01.2023 15:00;8;6;8;8;5;9;19;14;16;12;13;11;10
13.01.2023 16:00;9;6;9;8;5;10;19;15;18;10;11;11;12
13.01.2023 17:00;8;6;11;9;5;11;17;15;17;8;12;11;11
13.01.2023 18:00;7;6;10;7;5;8;13;10;11;8;11;10;11
13.01.2023 19:00;6;6;9;7;4;8;8;9;9;7;10;8;9
13.01.2023 20:00;6;5;10;7;4;8;9;9;9;7;10;9;10
13.01.2023 21:00;6;6;10;7;5;8;13;10;12;7;11;8;10
13.01.2023 22:00;6;6;7;7;5;8;12;11;13;7;10;8;8
13.01.2023 23:00;6;6;7;7;5;7;10;9;10;7;9;8;8
14.01.2023 00:00;6;6;7;7;5;7;9;8;9;7;9;8;8
14.01.2023 01:00;6;6;7;7;5;7;8;8;8;7;9;8;8
14.01.2023 02:00;6;6;6;8;5;7;8;8;8;7;9;8;8
14.01.2023 03:00;6;6;6;8;5;7;8;7;7;7;9;7;7
14.01.2023 04:00;6;6;6;7;5;7;7;7;7;7;9;7;7
14.01.2023 05:00;6;5;6;7;5;7;9;6;6;7;8;7;6
14.01.2023 06:00;6;6;6;7;5;7;7;7;7;7;9;7;7
14.01.2023 07:00;6;6;6;8;5;8;9;7;7;7;9;7;7
14.01.2023 08:00;7;6;6;8;5;8;8;8;8;7;9;7;7
14.01.2023 09:00;6;5;7;8;5;8;9;8;8;8;9;7;7
14.01.2023 10:00;7;6;7;8;5;8;9;10;10;9;12;9;9
14.01.2023 11:00;7;6;7;8;5;8;9;11;10;9;12;8;9
14.01.2023 12:00;9;8;10;9;6;11;14;11;11;12;13;10;11
14.01.2023 13:00;11;8;10;11;6;13;15;13;15;15;14;13;13
14.01.2023 14:00;14;8;11;11;5;12;13;13;14;11;16;13;14
14.01.2023 15:00;14;8;11;11;6;12;14;13;14;13;13;14;15
14.01.2023 16:00;11;9;11;11;6;11;12;14;15;12;14;13;13
14.01.2023 17:00;9;8;11;11;6;11;11;12;12;12;13;11;12
14.01.2023 18:00;8;7;10;9;6;10;9;10;10;10;12;10;10
14.01.2023 19:00;7;6;9;7;5;8;8;8;9;10;12;8;9
14.01.2023 20:00;7;5;9;7;5;8;7;8;8;8;9;8;9
14.01.2023 21:00;7;6;8;6;5;8;7;8;8;8;9;7;10
14.01.2023 22:00;7;6;8;6;5;8;8;8;8;8;9;7;9
14.01.2023 23:00;7;5;7;6;5;7;7;7;7;7;8;7;9
15.01.2023 00:00;6;5;6;5;5;6;6;6;6;5;7;6;7
15.01.2023 01:00;5;4;5;5;4;5;6;5;6;5;6;6;7
15.01.2023 02:00;5;4;5;4;4;5;5;5;5;5;6;5;6
15.01.2023 03:00;5;4;4;4;3;4;5;5;5;4;5;5;5
15.01.2023 04:00;5;4;4;4;3;4;5;4;5;4;5;6;5
15.01.2023 05:00;4;4;4;4;4;4;5;5;5;4;5;5;5
15.01.2023 06:00;3;3;4;4;3;4;5;5;5;4;5;4;4
15.01.2023 07:00;4;4;4;4;3;4;5;5;5;4;5;4;4
15.01.2023 08:00;4;4;4;4;4;5;6;5;5;4;5;5;5
15.01.2023 09:00;4;4;7;5;3;5;5;5;5;5;8;5;6
15.01.2023 10:00;5;4;6;5;3;5;6;5;6;6;11;5;6
15.01.2023 11:00;4;4;5;5;4;5;6;6;6;5;11;5;7
15.01.2023 12:00;5;4;7;5;4;5;7;6;6;5;9;5;7
15.01.2023 13:00;5;4;6;4;4;6;9;7;8;5;9;8;7
15.01.2023 14:00;5;4;7;5;4;6;9;9;9;6;8;7;7
15.01.2023 15:00;5;4;7;5;4;6;9;8;9;6;8;6;7
15.01.2023 16:00;5;4;8;5;4;6;9;8;8;6;9;7;8
15.01.2023 17:00;5;4;9;5;4;6;7;7;9;5;7;6;8
15.01.2023 18:00;6;4;8;6;3;6;7;7;8;5;8;7;7
15.01.2023 19:00;5;5;7;6;4;6;8;8;9;5;8;7;8
15.01.2023 20:00;6;5;7;5;4;7;8;7;8;6;9;7;8
15.01.2023 21:00;5;5;6;5;4;7;7;8;8;6;8;9;7
15.01.2023 22:00;5;5;6;5;4;6;7;7;8;5;8;7;7
15.01.2023 23:00;5;5;7;5;4;6;8;7;8;6;8;7;7
16.01.2023 00:00;5;5;6;6;4;6;7;7;8;5;7;6;6
16.01.2023 01:00;6;5;5;7;4;6;6;6;7;5;7;7;6
